model,condition,CRI,EFS,NPI,TAI,Fin-Hallu Score
gemini-3.1-flash-lite,few_shot,0.630783785883483,0.5619605985532425,0.733,0.68,0.6514360961091814
gemini-3.1-flash-lite,rag,0.5134436616630732,0.40752056363904043,0.09007142857142858,0.64,0.41275891346838556
gemini-3.1-flash-lite,zero_shot,0.49540668722669806,0.42369329193761535,0.15435714285714286,0.63,0.42586428050536407
gpt-4,few_shot,0.530249017950901,0.5559630085230053,0.557738196988197,0.6933333333333334,0.5843208891988592
gpt-4,rag,0.3981986337135286,0.38802003055162443,0.13766413216413217,0.71,0.4084706991073213
gpt-4,zero_shot,0.4042678044438768,0.40889477803768937,0.14883384208384207,0.6766666666666666,0.40966577280801875
llama-3-70b,few_shot,0.45827941783677506,0.4897509297512153,0.410724617974618,0.6633333333333333,0.5055220747239855
llama-3-70b,rag,0.343470689301972,0.379325103642342,0.14317639562879503,0.66,0.38149304714327725
llama-3-70b,zero_shot,0.29414100888147304,0.3732304212488314,0.11339715377215377,0.6566666666666666,0.3593588126422812
